#NombreItEnFonctionDeK.dat
#K puissance gauss-seidel
6 1389 28
7 1618 34
8 1832 40
9 2032 45
10 2219 49
11 2395 53
12 2566 57
13 2728 60
14 2883 64
15 3033 66
16 3178 69
17 3319 72
18 3457 74
19 3592 76
20 3724 78
21 3855 81
22 3983 83
23 4110 85
24 4236 86
25 4360 88
26 4483 90
27 4605 92
28 4726 94
29 4846 95
30 4965 97
31 5084 99
32 5202 100
33 5319 102
34 5435 104
35 5552 105
36 5667 107
37 5782 109
38 5897 110
39 6011 112
40 6124 113
41 6238 115
42 6351 116
43 6463 118
44 6575 119
45 6687 121
46 6799 122
47 6910 124
48 7021 125
49 7132 127
50 7242 128
51 7352 130
52 7462 131
53 7572 133
54 7681 134
55 7790 136
56 7899 137
57 8008 138
58 8117 140
59 8225 141
60 8333 143
61 8441 144
62 8549 146
63 8657 147
64 8765 148
65 8872 150
66 8979 151
67 9086 153
68 9193 154
69 9300 155
70 9407 157
71 9513 158
72 9619 159
73 9726 161
74 9832 162
75 9938 164
76 10000 165
77 10000 166
78 10000 168
79 10000 169
80 10000 170
81 10000 172
82 10000 173
83 10000 174
84 10000 176
85 10000 177
86 10000 178
87 10000 180
88 10000 181
89 10000 182
90 10000 184
91 10000 185
92 10000 186
93 10000 188
94 10000 189
95 10000 190
96 10000 191
97 10000 193
98 10000 194
99 10000 195
100 10000 197
