#perfo_Epsilon.dat
#epsilon temps(ns)
0 31360
-1 11730
-2 14567
-3 1615690
-4 2015208
-5 249900
-6 222315
-7 219072
-8 216339
-9 218814
-10 217324
-11 216768
-12 218192
-13 232533
-14 221640
-15 222511
-16 225480
-17 220733
-18 246226
-19 225726
-20 224618
-21 226399
-22 220441
-23 223186
-24 223979
-25 223898
-26 221258
-27 238245
-28 226204
-29 220273
-30 224711
-31 234322
-32 223921
-33 234889
-34 225862
-35 227591
-36 223198
-37 228609
-38 226267
-39 224633
-40 224114
-41 233348
-42 225895
-43 223931
-44 225745
-45 221465
-46 228540
-47 224651
-48 223793
-49 225933
-50 225375
-51 226867
-52 223808
-53 226189
-54 223684
-55 226504
-56 226315
-57 229020
-58 234138
-59 178565
-60 177871
-61 178445
-62 178267
-63 180550
-64 179658
-65 198418
-66 176327
-67 179072
-68 177928
-69 180823
-70 180096
-71 177555
-72 179177
-73 178577
-74 179487
-75 175896
-76 178555
-77 181220
-78 178604
-79 178214
-80 178282
-81 178604
-82 177321
-83 178361
-84 192760
-85 175352
-86 178896
-87 177616
-88 178328
-89 176550
-90 178875
-91 175791
-92 179396
-93 179346
-94 174926
-95 178961
-96 177808
-97 177361
-98 177202
-99 179658
